Topic,Words,Frequency,Timestamp
-1,"forest, standardized, process, units, managing",1,1980-01-01
-1,"mis, issues, objectives, stages, process",3,1981-01-01
0,"effectiveness, mis, evaluation, evaluator, viewpoints",1,1981-01-01
-1,"cbms, message, article, problems, computer",1,1983-01-01
0,"region, dib, development, application, banking",2,1983-01-01
0,"effectiveness, measures, strategic, mis, thrusts",2,1985-01-01
1,"attitudes, impacts, perceptions, job, user",1,1986-01-01
5,"crisis, california, sce, edison, southern",1,1986-01-01
-1,"replicated, multimedia, distributed, copy, copies",2,1987-01-01
0,"chargeback, organizational, authors, function, environments",1,1987-01-01
-1,"metadata, software, resource, management, languages",4,1988-01-01
0,"package, accountants, technology, management, survey",4,1988-01-01
1,"group, user, gdss, involvement, decision",4,1988-01-01
2,"methods, appropriate, computer, qualitative, choices",2,1988-01-01
7,"decision, support, model, management, issuebased",2,1988-01-01
-1,"decision, expert, courses, management, telemarketing",4,1989-01-01
0,"investment, competitive, strategy, technology, organizational",5,1989-01-01
1,"involvement, user, participation, hypotheses, behaviors",1,1989-01-01
2,"health, evidence, impending, underpin, computerization",1,1989-01-01
-1,"network, trws, fast, data, compounding",2,1990-01-01
0,"strategic, business, development, adoption, coss",5,1990-01-01
1,"ems, meeting, ibm, learned, electronic",1,1990-01-01
2,"technical, development, interaction, company, social",1,1990-01-01
4,"sector, public, eis, private, development",1,1990-01-01
7,"dss, decision, intelligent, models, agent",1,1990-01-01
-1,"strategies, bargaining, 1991, programme, books",3,1991-01-01
0,"champions, methodologies, strategic, strategy, strategies",4,1991-01-01
1,"change, users, equity, user, resistance",1,1991-01-01
-1,"hypertext, data, motivation, research, systems",7,1992-01-01
0,"problems, success, scenario, organizational, critical",3,1992-01-01
1,"satisfaction, job, fit, contingency, organizational",2,1992-01-01
4,"rural, countries, development, decentralization, india",1,1992-01-01
7,"dkas, model, distributed, formulation, decision",3,1992-01-01
-1,"user, expectations, management, euc, development",7,1993-01-01
0,"sisp, tools, case, planning, area",5,1993-01-01
1,"telecommunications, technologies, pictorial, provide, transfer",2,1993-01-01
2,"action, design, soft, science, methods",3,1993-01-01
4,"rural, areas, teleworking, development, ec",1,1993-01-01
7,"mathematical, modeling, support, model, models",1,1993-01-01
8,"database, tutors, end, skills, users",1,1993-01-01
-1,"businesses, small, development, relationship, approach",5,1994-01-01
0,"planning, strategic, organizational, innovation, diffusion",4,1994-01-01
1,"user, participation, email, involvement, attitude",4,1994-01-01
2,"power, politics, effort, political, science",1,1994-01-01
4,"videotex, tltel, national, minitel, french",1,1994-01-01
7,"formulation, model, control, decision, tactical",2,1994-01-01
8,"operators, database, decision, graph, covering",1,1994-01-01
9,"benchmarking, database, benchmarks, decision, mix",1,1994-01-01
-1,"es, expert, memory, tutoring, organizational",9,1995-01-01
0,"reengineering, change, business, case, tactics",9,1995-01-01
1,"selfefficacy, planned, computers, behavior, computer",2,1995-01-01
5,"escalation, project, failure, projects, fail",1,1995-01-01
8,"language, natural, database, query, queries",1,1995-01-01
-1,"explanations, expert, kbs, users, bank",6,1996-01-01
0,"case, management, adoption, business, factors",11,1996-01-01
1,"covert, behaviour, prm, resistance, useranalyst",2,1996-01-01
4,"local, governorates, idsc, egypt, project",1,1996-01-01
5,"higherorder, learning, advanced, organizational, development",1,1996-01-01
7,"decision, man, manager, prototype, support",1,1996-01-01
-1,"technology, organizational, clientserver, process, learning",14,1997-01-01
0,"important, organizational, tradenet, structures, evaluation",4,1997-01-01
1,"multivariate, models, empirical, reactions, users",1,1997-01-01
2,"interorganizational, drug, stakeholder, interested, parties",1,1997-01-01
5,"hazard, moral, ethical, project, implement",1,1997-01-01
8,"prolog, language, logic, programming, continuing",1,1997-01-01
-1,"isdn, benefit, risk, rad, management",9,1998-01-01
0,"organizations, issues, reengineering, addictive, change",2,1998-01-01
1,"innovativeness, personal, construct, web, psychometric",1,1998-01-01
9,"trading, market, structure, services, specification",1,1998-01-01
-1,"technology, temporal, research, implementation, acceptance",8,1999-01-01
0,"planning, technology, business, software, equilibrium",9,1999-01-01
1,"telecommuting, innovation, user, group, agreement",7,1999-01-01
3,"internetenabled, distribution, internet, strategy, choice",2,1999-01-01
4,"research, intensive, india, gis, contextualism",1,1999-01-01
9,"trading, market, transaction, trade, preferencebased",1,1999-01-01
10,"countries, temporal, lessdeveloped, internet, evolving",1,1999-01-01
-1,"fpa, workflows, productivity, software, platform",3,2000-01-01
0,"erp, business, planning, alignment, technology",14,2000-01-01
1,"groupware, mass, acceptance, critical, perceived",1,2000-01-01
3,"pricing, extraction, internet, incentivecompatible, congestion",1,2000-01-01
4,"superhighway, national, shortcomings, development, scenarios",1,2000-01-01
5,"deescalation, project, projects, course, troubled",1,2000-01-01
-1,"organisational, warehousing, data, effort, size",3,2001-01-01
0,"erp, knowledge, management, effort, organizational",5,2001-01-01
1,"innovation, aggregation, innovations, aggregated, assimilation",1,2001-01-01
10,"culture, acceptance, national, globalization, tam",1,2001-01-01
-1,"schemas, technology, conceptual, global, local",4,2002-01-01
0,"firms, erp, planning, enterprise, resource",2,2002-01-01
8,"database, query, flexible, mining, queries",1,2002-01-01
-1,"ebusiness, corporate, householding, data, workflow",4,2003-01-01
0,"intranet, alignment, electronic, iis, eos",5,2003-01-01
1,"separation, retention, professionals, economics, precursors",1,2003-01-01
2,"research, variables, issa, taxonomy, success",1,2003-01-01
-1,"control, middleware, project, collaboration, phases",2,2004-01-01
0,"options, trust, erp, programs, technochange",4,2004-01-01
2,"clan, informating, principal, control, concertive",1,2004-01-01
3,"control, visual, virtual, functional, products",1,2004-01-01
-1,"boundary, standards, strategic, industry, itdependent",6,2005-01-01
0,"erp, planning, enterprise, business, rem",7,2005-01-01
1,"resistance, user, commitment, acceptance, behaviors",4,2005-01-01
2,"multiparty, reflectioninaction, design, webbased, isd",1,2005-01-01
-1,"product, manufacturing, design, local, impact",6,2006-01-01
0,"erp, planning, enterprise, business, alignment",13,2006-01-01
1,"knowledge, km, reuse, group, quality",2,2006-01-01
2,"hospitality, ehealthcare, privacy, phenomenology, abcchd",2,2006-01-01
3,"trustassuring, arguments, claim, consumer, backing",2,2006-01-01
6,"security, risk, crime, threats, computer",1,2006-01-01
8,"configuration, es, patterns, semantic, problem",1,2006-01-01
10,"culture, values, review, national, theory",1,2006-01-01
-1,"sources, modeling, management, case, technology",8,2007-01-01
0,"erp, business, management, knowledge, enterprise",9,2007-01-01
1,"user, participation, theory, construct, use",4,2007-01-01
2,"design, health, telemedicine, care, local",4,2007-01-01
4,"knowledge, cultivation, impediments, public, informationsharing",3,2007-01-01
8,"web, modeldriven, transformations, development, metametamodel",1,2007-01-01
10,"standardization, wlan, actornetwork, counternetworks, wapi",1,2007-01-01
-1,"research, satisfaction, learning, supply, technology",9,2008-01-01
0,"erp, management, study, offshoring, case",9,2008-01-01
1,"needs, fulfillment, equitable, eus, satisfaction",1,2008-01-01
2,"health, power, healthcare, definition, dynamics",5,2008-01-01
5,"realization, benefits, practices, project, projects",1,2008-01-01
8,"query, semantic, web, retrieval, queries",1,2008-01-01
-1,"learning, community, innovation, institutionalization, institutional",4,2009-01-01
0,"erp, actions, case, department, study",7,2009-01-01
1,"resistance, ideas, user, competition, bias",2,2009-01-01
2,"valuechain, critical, theory, reflection, healthcare",3,2009-01-01
5,"pmo, project, management, sponsorship, challenges",2,2009-01-01
6,"security, certification, frames, incongruence, research",1,2009-01-01
10,"ethics, culture, chinese, generation, china",1,2009-01-01
-1,"research, process, bidding, enterprise, management",11,2010-01-01
0,"erp, spi, software, management, iois",5,2010-01-01
1,"user, emotions, resistance, use, acceptance",3,2010-01-01
2,"telecare, hit, healthcare, health, structurational",2,2010-01-01
3,"modeling, process, social, formal, business",1,2010-01-01
5,"project, management, sponsorship, optimization, organizational",2,2010-01-01
-1,"institutional, egovernment, trustworthiness, trust, management",12,2011-01-01
0,"software, erp, crm, opensource, study",8,2011-01-01
1,"web, presentation, mobile, browsing, adaptation",1,2011-01-01
2,"health, healthcare, design, theory, use",8,2011-01-01
3,"privacy, protection, consumer, personalization, welfare",1,2011-01-01
5,"risk, project, social, construction, management",1,2011-01-01
-1,"risk, project, management, timeline, enterprise",9,2012-01-01
0,"software, flexibility, development, granularity, component",2,2012-01-01
1,"resistance, user, cynicism, implementers, social",4,2012-01-01
2,"health, routines, isomorphism, institutional, care",4,2012-01-01
6,"security, institutional, capability, assimilation, influences",1,2012-01-01
8,"decision, guidance, optimization, query, dgss",1,2012-01-01
9,"market, trading, computational, markets, dealer",1,2012-01-01
-1,"activity, organizational, affordances, change, trust",8,2013-01-01
0,"enterprise, project, management, assimilation, erp",5,2013-01-01
1,"heterogeneity, unobserved, job, characteristics, resistance",4,2013-01-01
2,"bi, designoriented, informatics, community, wirtschaftsinformatik",1,2013-01-01
4,"ict, public, ict4d, ambiguity, innovations",2,2013-01-01
5,"trust, project, giddens, relationships, projects",1,2013-01-01
-1,"management, research, itg, social, organizational",10,2014-01-01
0,"operational, agility, making, capability, decision",3,2014-01-01
1,"use, rigidity, detection, job, enterprise",4,2014-01-01
2,"health, evaluation, design, systems, paper",4,2014-01-01
3,"item, preferences, ratings, weighted, recommender",1,2014-01-01
5,"project, management, goals, styles, tensions",2,2014-01-01
-1,"organizational, software, network, soa, theory",7,2015-01-01
0,"outsourcing, erp, management, project, value",4,2015-01-01
1,"peer, ties, advice, enterprise, es",1,2015-01-01
2,"readmissions, predictive, patient, readmission, analytics",1,2015-01-01
3,"telephone, service, internet, migration, channel",1,2015-01-01
6,"security, awareness, theory, contextualism, structuration",1,2015-01-01
-1,"online, interdependencies, management, research, communities",8,2016-01-01
0,"leadership, bi, inertia, erp, deep",3,2016-01-01
1,"resistance, user, esm, change, use",4,2016-01-01
2,"health, healthcare, care, stakeholder, policy",5,2016-01-01
3,"paywall, media, wom, website, social",1,2016-01-01
-1,"green, research, environmental, business, kms",8,2017-01-01
0,"software, making, smes, generification, decision",2,2017-01-01
1,"job, service, use, cocreation, kms",4,2017-01-01
2,"health, duplicate, tests, sharing, radiology",1,2017-01-01
4,"federal, agencies, government, investments, public",1,2017-01-01
6,"security, practices, policies, policy, translation",2,2017-01-01
-1,"tendering, legislation, sensemaking, software, impression",5,2018-01-01
0,"cloud, software, requirements, boundary, computing",4,2018-01-01
1,"user, technology, learning, diabetes, resistance",4,2018-01-01
2,"phronesis, conflicts, value, infrastructure, ethical",1,2018-01-01
5,"crowdfunding, sponsors, ownership, psychological, cocreation",1,2018-01-01
-1,"policy, responses, enterprise, institutional, organizational",5,2019-01-01
0,"program, erp, success, salient, identity",1,2019-01-01
1,"pls, equation, modelling, measurement, smt",2,2019-01-01
2,"health, adr, institutional, record, research",4,2019-01-01
3,"protection, wom, online, biases, recommender",4,2019-01-01
4,"income, governance, government, india, sponsor",1,2019-01-01
6,"security, infosec, policy, best, ethnographic",1,2019-01-01
9,"auctions, combinatorial, simu, auction, bids",1,2019-01-01
-1,"contracts, smart, idea, legal, sourcing",4,2020-01-01
0,"digitization, sensemaking, ambidexterity, eai, architects",4,2020-01-01
1,"job, use, outcomes, knowledge, incumbent",4,2020-01-01
2,"healthcare, health, design, control, care",7,2020-01-01
3,"loyalty, consumption, recommender, apps, redemption",2,2020-01-01
-1,"learning, design, research, principles, technology",8,2021-01-01
1,"feedback, realtime, men, performance, employee",1,2021-01-01
2,"design, replication, science, research, dashboards",2,2021-01-01
4,"government, corruption, countries, anticorruption, petty",1,2021-01-01
-1,"championing, devops, success, development, software",3,2022-01-01
0,"cio, background, spillovers, cios, stock",3,2022-01-01
1,"job, postimplementation, technologysupported, polynomial, scope",1,2022-01-01
2,"health, complementarity, hit, healthcare, use",4,2022-01-01
3,"herding, social, adoption, cue, experiment",2,2022-01-01
6,"security, compliance, valuefocused, policies, breaches",1,2022-01-01
9,"rules, rule, quadratic, payment, combinatorial",1,2022-01-01
-1,"digital, research, energy, technical, debt",6,2023-01-01
0,"investment, follower, sequential, leaders, mover",1,2023-01-01
2,"digital, patient, research, healthcare, design",2,2023-01-01
3,"privacy, smart, content, speaker, consumers",2,2023-01-01
6,"security, awareness, data, protection, compliance",3,2023-01-01
-1,"harassment, monitoring, cyberloafing, technology, blockchain",6,2024-01-01
0,"frame, dt, modules, enterprise, ies",2,2024-01-01
1,"causal, transportability, observational, diagram, practical",1,2024-01-01
2,"philosophy, health, adoption, service, departments",3,2024-01-01
4,"rural, spatial, governance, ict, village",2,2024-01-01
6,"security, breaches, cloud, fatigue, storage",3,2024-01-01
0,"digitalisation, flexibility, turbulence, companies, coordination",1,2025-01-01
2,"unintended, consequences, health, affordances, ehr",1,2025-01-01
