Topic,Words
0,"erp (0.1088), enterprise (0.0435), resource (0.0407), planning (0.0363), process (0.0227), business (0.0190), implementation (0.0178), systems (0.0160), case (0.0157), projects (0.0157)"
1,"health (0.0699), healthcare (0.0516), care (0.0376), clinical (0.0232), electronic (0.0213), patient (0.0213), institutional (0.0205), medical (0.0185), use (0.0185), hit (0.0183)"
2,"database (0.0383), decision (0.0324), model (0.0262), support (0.0241), query (0.0235), web (0.0193), requirements (0.0189), modeling (0.0189), design (0.0188), process (0.0165)"
3,"edi (0.0511), electronic (0.0414), industry (0.0313), market (0.0306), standards (0.0234), supply (0.0229), interchange (0.0213), trading (0.0207), interorganizational (0.0199), integration (0.0197)"
4,"change (0.0515), iois (0.0397), management (0.0283), transformation (0.0255), process (0.0250), case (0.0242), organizational (0.0224), structural (0.0220), study (0.0214), tactics (0.0209)"
5,"planning (0.0759), strategic (0.0632), business (0.0542), sisp (0.0465), methodologies (0.0360), organizational (0.0249), management (0.0245), problems (0.0243), plan (0.0225), framework (0.0218)"
6,"job (0.1262), employees (0.0465), outcomes (0.0440), satisfaction (0.0402), employee (0.0378), enterprise (0.0366), performance (0.0363), ties (0.0334), es (0.0292), network (0.0287)"
7,"architecture (0.0545), institutional (0.0403), enterprise (0.0367), technology (0.0301), itg (0.0289), ea (0.0269), logics (0.0259), eai (0.0249), architects (0.0249), investment (0.0243)"
8,"consumer (0.0426), social (0.0402), recommender (0.0399), consumption (0.0346), internet (0.0321), experiment (0.0320), trustassuring (0.0319), privacy (0.0314), adoption (0.0309), arguments (0.0303)"
9,"outsourcing (0.0428), absorptive (0.0387), capacity (0.0376), agility (0.0363), investment (0.0350), cloud (0.0341), value (0.0335), capability (0.0334), firm (0.0304), manufacturing (0.0300)"
10,"software (0.1189), packaged (0.0565), case (0.0410), open (0.0364), opensource (0.0291), adoption (0.0271), upgrades (0.0268), equilibrium (0.0263), package (0.0250), criteria (0.0223)"
11,"security (0.1863), breaches (0.0546), awareness (0.0441), compliance (0.0413), policies (0.0358), data (0.0353), policy (0.0344), practices (0.0319), research (0.0298), cloud (0.0294)"
12,"ict (0.0697), rural (0.0655), countries (0.0502), india (0.0480), developing (0.0380), governance (0.0362), ict4d (0.0348), development (0.0348), spatial (0.0299), areas (0.0286)"
13,"design (0.1166), principles (0.0454), science (0.0426), adr (0.0370), research (0.0365), creativity (0.0336), replication (0.0322), philosophy (0.0273), theory (0.0264), sustainability (0.0250)"
14,"resistance (0.1736), user (0.0961), change (0.0390), bias (0.0345), users (0.0339), cynicism (0.0317), acceptance (0.0311), quo (0.0307), status (0.0295), implementers (0.0268)"
15,"heterogeneity (0.0563), causal (0.0509), acceptance (0.0505), unobserved (0.0496), structural (0.0439), squares (0.0390), equation (0.0364), technology (0.0353), groupware (0.0323), models (0.0319)"
16,"user (0.0917), participation (0.0716), quality (0.0709), involvement (0.0660), iq (0.0419), users (0.0407), vcpi (0.0380), data (0.0330), warehousing (0.0320), development (0.0303)"
17,"project (0.1083), risk (0.0973), management (0.0658), pmo (0.0652), control (0.0401), styles (0.0338), assessment (0.0337), risks (0.0332), reengineering (0.0328), escalation (0.0302)"
18,"digital (0.0835), power (0.0567), action (0.0449), politics (0.0408), society (0.0402), research (0.0351), science (0.0329), public (0.0326), phronesis (0.0315), conflicts (0.0291)"
19,"alignment (0.1663), strategic (0.0696), business (0.0493), knowledge (0.0406), planning (0.0376), businessit (0.0361), cio (0.0347), background (0.0325), frame (0.0316), stock (0.0316)"
20,"government (0.0939), public (0.0638), sector (0.0604), egovernment (0.0563), countries (0.0432), institutional (0.0394), federal (0.0383), developing (0.0381), corruption (0.0373), trustworthiness (0.0336)"
21,"knowledge (0.0732), teaching (0.0493), km (0.0482), management (0.0435), infosys (0.0411), kmo (0.0411), simulation (0.0359), decision (0.0358), core (0.0319), courses (0.0308)"
22,"technology (0.0410), design (0.0383), biography (0.0336), cscw (0.0308), equipment (0.0301), organization (0.0280), identity (0.0269), legitimation (0.0244), produces (0.0237), time (0.0233)"
23,"mis (0.1091), effectiveness (0.0998), evaluation (0.0723), champions (0.0511), competitive (0.0508), strategy (0.0488), evaluator (0.0469), important (0.0461), viewpoints (0.0444), structures (0.0437)"
24,"expert (0.0917), software (0.0642), knowledge (0.0582), developers (0.0571), participation (0.0534), ideas (0.0494), domain (0.0447), ml (0.0411), development (0.0372), competition (0.0353)"
25,"group (0.0780), meeting (0.0735), meetings (0.0731), knowledge (0.0620), esm (0.0580), ekr (0.0519), ems (0.0519), values (0.0475), postadoptive (0.0456), electronic (0.0413)"
26,"project (0.1227), sponsorship (0.0933), crowdfunding (0.0933), sponsors (0.0868), projects (0.0828), management (0.0707), psychological (0.0579), support (0.0540), ownership (0.0510), multimethod (0.0453)"
27,"misfits (0.1168), recovery (0.0728), agile (0.0612), disaster (0.0600), fit (0.0535), mis (0.0477), misfit (0.0455), equivocality (0.0437), enterprise (0.0415), artifact (0.0409)"
28,"interdependence (0.1349), metaanalysis (0.1162), task (0.1068), support (0.0931), scale (0.0663), randomeffects (0.0559), sharma (0.0559), effect (0.0542), management (0.0517), model (0.0448)"
29,"presentation (0.0741), web (0.0733), fulfillment (0.0675), needs (0.0655), mobile (0.0641), equitable (0.0619), use (0.0594), adaptation (0.0536), eus (0.0531), browsing (0.0516)"
