Topic,Words,Frequency,Timestamp
4,"forest, standardized, units, process, change",1,1980-01-01
-1,"interactions, mis, activities, preferences, agent",1,1981-01-01
23,"mis, effectiveness, evaluator, viewpoints, evaluation",2,1981-01-01
27,"mis, issues, stages, unsuccessful, process",1,1981-01-01
-1,"region, dib, banking, dinero, rebis",1,1983-01-01
3,"cbms, message, article, problems, outlining",1,1983-01-01
5,"application, development, spent, time, life",1,1983-01-01
5,"strategic, thrusts, sis, planning, competitive",1,1985-01-01
23,"effectiveness, mis, measures, perceived, behavioral",1,1985-01-01
-1,"attitudes, impacts, perceptions, confounding, rejecting",1,1986-01-01
17,"crisis, california, edison, sce, southern",1,1986-01-01
-1,"chargeback, multimedia, minos, testbed, unformatted",2,1987-01-01
2,"replicated, copies, copy, sites, consistency",1,1987-01-01
-1,"metadata, gdss, decision, technology, management",6,1988-01-01
1,"computer, qualitative, methods, impacts, quantitative",1,1988-01-01
2,"decision, support, issuebased, languages, software",4,1988-01-01
5,"sisp, methodologies, planning, plan, survey",1,1988-01-01
7,"introducing, aspects, companies, japan, technology",1,1988-01-01
10,"package, vendor, software, 78, 18",1,1988-01-01
16,"involvement, user, success, contingent, variables",1,1988-01-01
25,"meetings, meeting, group, support, ems",1,1988-01-01
-1,"telemarketing, transtech, american, att, isdn",2,1989-01-01
1,"health, underpin, impending, evidence, anticipating",1,1989-01-01
3,"londons, bang, trading, securities, big",1,1989-01-01
5,"planning, plan, incremental, function, problems",1,1989-01-01
7,"investment, track, mini, definition, need",1,1989-01-01
16,"involvement, user, participation, hypotheses, activities",1,1989-01-01
21,"decision, courses, schools, making, core",1,1989-01-01
23,"competitive, strategy, structure, conservative, aggressive",1,1989-01-01
24,"expert, printing, strategy, knowledge, company",1,1989-01-01
27,"equivocality, uncertainty, tools, mis, intensities",1,1989-01-01
-1,"network, programmer, reusability, trws, reusabilitybased",2,1990-01-01
0,"maintenance, pep, erp, procedure, control",1,1990-01-01
2,"dss, intelligent, decision, agent, es",1,1990-01-01
3,"coss, zellers, club, adoption, competitive",2,1990-01-01
5,"eis, business, objectives, strategic, executive",1,1990-01-01
20,"sector, public, eis, private, government",1,1990-01-01
22,"technical, development, company, interaction, formalrationalism",1,1990-01-01
25,"ems, meeting, ibm, group, meetings",1,1990-01-01
27,"compounding, emphasise, pre, industry, enquiry",1,1990-01-01
-1,"books, penguin, barriers, strategies, coherent",2,1991-01-01
2,"bargaining, collective, decision, groupdecision, minimize",1,1991-01-01
5,"methodologies, strategic, planning, applying, wisemans",2,1991-01-01
14,"resistance, change, user, equity, users",1,1991-01-01
20,"strategies, government, expenditure, frequently, included",1,1991-01-01
23,"champions, dealings, champion, departments, units",1,1991-01-01
-1,"success, motivation, data, organizational, eis",7,1992-01-01
2,"hypertext, dkas, distributed, dmms, model",4,1992-01-01
5,"fit, contingency, problems, planning, scenario",3,1992-01-01
6,"job, satisfaction, ic, center, leave",1,1992-01-01
12,"rural, countries, decentralization, india, developing",1,1992-01-01
-1,"expectations, euc, soft, telecommunications, technologies",4,1993-01-01
2,"database, tutors, mathematical, modeling, end",3,1993-01-01
3,"marketing, database, second, approach, examines",1,1993-01-01
4,"tools, area, structural, change, case",3,1993-01-01
5,"sisp, planning, strategic, success, plans",1,1993-01-01
10,"case, categories, departments, software, tools",1,1993-01-01
12,"rural, areas, teleworking, development, ec",2,1993-01-01
15,"pictorial, econometric, transfer, forecasting, approach",1,1993-01-01
16,"userled, user, perception, representation, involvement",1,1993-01-01
18,"action, science, metaphors, digital, metaphorical",2,1993-01-01
22,"variables, design, organization, traditional, organizations",1,1993-01-01
-1,"approach, benchmarking, businesses, small, database",7,1994-01-01
2,"formulation, operators, database, model, decision",2,1994-01-01
3,"edi, diffusion, innovation, interorganizational, predictors",2,1994-01-01
5,"planning, strategic, organizational, business, characteristics",2,1994-01-01
6,"email, interns, network, rd, mail",1,1994-01-01
16,"user, participation, involvement, attitude, measuring",2,1994-01-01
18,"power, politics, effort, action, political",1,1994-01-01
21,"deconstruction, development, isuser, relationship, methodologies",1,1994-01-01
25,"meetings, meeting, industrywide, followup, zealand",1,1994-01-01
-1,"memory, es, success, reengineering, bpr",6,1995-01-01
2,"tutoring, language, intelligent, natural, database",2,1995-01-01
3,"edi, advantage, nonhub, hub, strategic",2,1995-01-01
