Topic,Words,Frequency,Timestamp
0,"forest, standardized, process, units, managing",1,1980-01-01
-1,"mis, effectiveness, evaluator, viewpoints, issues",4,1981-01-01
0,"region, dib, cbms, development, system",3,1983-01-01
-1,"effectiveness, measures, mis, perceived, results",1,1985-01-01
0,"strategic, thrusts, competitive, sis, planning",1,1985-01-01
1,"attitudes, perceptions, impacts, user, rejecting",1,1986-01-01
6,"crisis, california, edison, sce, management",1,1986-01-01
-1,"chargeback, organizational, authors, environments, function",1,1987-01-01
3,"replicated, distributed, multimedia, copy, copies",2,1987-01-01
-1,"technology, support, group, decision, gdss",6,1988-01-01
0,"package, management, accountants, airline, reservation",4,1988-01-01
1,"involvement, user, users, success, perspective",2,1988-01-01
2,"computer, qualitative, methods, impacts, health",1,1988-01-01
3,"decision, support, management, issuebased, model",3,1988-01-01
-1,"decision, expert, management, courses, making",5,1989-01-01
0,"investment, competitive, strategy, technology, organizational",4,1989-01-01
1,"involvement, user, participation, hypotheses, behaviors",1,1989-01-01
2,"health, evidence, impending, underpin, computerization",1,1989-01-01
-1,"sector, network, development, public, process",6,1990-01-01
0,"strategic, business, development, adoption, coss",4,1990-01-01
3,"dss, decision, intelligent, agent, models",1,1990-01-01
-1,"strategies, bargaining, 1991, programme, penguin",3,1991-01-01
0,"champions, methodologies, strategic, two, strategy",4,1991-01-01
1,"change, users, user, resistance, equity",1,1991-01-01
-1,"success, organizational, research, motivation, eis",6,1992-01-01
0,"satisfaction, job, analysis, organizational, fit",5,1992-01-01
3,"hypertext, distributed, dkas, model, decision",4,1992-01-01
4,"rural, countries, developing, development, decentralization",1,1992-01-01
-1,"design, organization, technology, management, organizational",11,1993-01-01
0,"sisp, tools, case, planning, process",4,1993-01-01
1,"user, userled, perception, representation, users",1,1993-01-01
3,"database, tutors, modeling, mathematical, end",2,1993-01-01
4,"rural, development, areas, teleworking, countries",2,1993-01-01
-1,"development, businesses, power, small, results",7,1994-01-01
0,"planning, organizational, strategic, innovation, diffusion",5,1994-01-01
1,"user, participation, involvement, attitude, measuring",2,1994-01-01
3,"database, decision, model, formulation, benchmarking",4,1994-01-01
4,"videotex, tltel, national, minitel, french",1,1994-01-01
-1,"organizational, technology, reengineering, memory, organizations",12,1995-01-01
0,"tactics, case, edi, revolutionary, business",6,1995-01-01
1,"es, planned, behavior, user, success",2,1995-01-01
3,"language, natural, database, query, model",1,1995-01-01
6,"escalation, project, failure, management, projects",1,1995-01-01
-1,"explanations, expert, technology, kbs, support",10,1996-01-01
0,"organizational, case, adoption, technology, learning",9,1996-01-01
1,"resistance, covert, behaviour, end, users",2,1996-01-01
3,"decision, man, manager, prototype, design",1,1996-01-01
-1,"clientserver, technology, organizational, control, interests",9,1997-01-01
0,"organizational, important, technology, business, management",7,1997-01-01
1,"multivariate, models, empirical, users, it",1,1997-01-01
2,"interorganizational, stakeholder, drug, interested, parties",1,1997-01-01
3,"prolog, design, learning, destination, organizational",3,1997-01-01
6,"hazard, moral, ethical, project, implement",1,1997-01-01
-1,"isdn, benefit, network, perspective, technology",7,1998-01-01
0,"rad, organizations, business, strategic, development",2,1998-01-01
1,"innovativeness, personal, construct, web, acceptance",2,1998-01-01
3,"trading, market, structure, services, specification",1,1998-01-01
6,"risk, management, software, approach, project",1,1998-01-01
-1,"technology, acceptance, internet, agreement, group",8,1999-01-01
0,"technology, business, planning, erp, management",15,1999-01-01
1,"innovation, user, theories, attitude, contingent",4,1999-01-01
3,"transaction, trading, market, trade, preferencebased",1,1999-01-01
4,"research, intensive, india, gis, contextualism",1,1999-01-01
-1,"business, alignment, pricing, technology, professionals",6,2000-01-01
0,"erp, integration, management, electronic, research",12,2000-01-01
1,"groupware, mass, acceptance, critical, perceived",1,2000-01-01
3,"workflows, workflow, tasks, processes, metagraphs",1,2000-01-01
6,"deescalation, project, projects, course, management",1,2000-01-01
